U+0303F6: 𰏶
U+0303F7: 𰏷
U+0303F8: 𰏸
U+0303F9: 𰏹
U+0303FA: 𰏺
U+0303FB: 𰏻
U+0303FC: 𰏼
U+0303FD: 𰏽
U+0303FE: 𰏾
U+0303FF: 𰏿
U+030400: 𰐀
U+030401: 𰐁
U+030402: 𰐂
U+030403: 𰐃
U+030404: 𰐄
U+030405: 𰐅
U+030406: 𰐆
U+030407: 𰐇
U+030408: 𰐈
U+030409: 𰐉
U+03040A: 𰐊
U+03040B: 𰐋
U+03040C: 𰐌
U+03040D: 𰐍
U+03040E: 𰐎
U+03040F: 𰐏
U+030410: 𰐐
U+030411: 𰐑
U+030412: 𰐒
U+030413: 𰐓
U+030414: 𰐔
U+030415: 𰐕
U+030416: 𰐖
U+030417: 𰐗
U+030418: 𰐘
U+030419: 𰐙
U+03041A: 𰐚
U+03041B: 𰐛
U+03041C: 𰐜
U+03041D: 𰐝
U+03041E: 𰐞
U+03041F: 𰐟
U+030420: 𰐠
U+030421: 𰐡
U+030422: 𰐢
U+030423: 𰐣
U+030424: 𰐤
U+030425: 𰐥
U+030426: 𰐦
U+030427: 𰐧
U+030428: 𰐨
U+030429: 𰐩
U+03042A: 𰐪
U+03042B: 𰐫
U+03042C: 𰐬
U+03042D: 𰐭
U+03042E: 𰐮
U+03042F: 𰐯
U+030430: 𰐰
U+030431: 𰐱
U+030432: 𰐲
U+030433: 𰐳
U+030434: 𰐴
U+030435: 𰐵
U+030436: 𰐶
U+030437: 𰐷
U+030438: 𰐸
U+030439: 𰐹
U+03043A: 𰐺
U+03043B: 𰐻
U+03043C: 𰐼
U+03043D: 𰐽
U+03043E: 𰐾
U+03043F: 𰐿
U+030440: 𰑀
U+030441: 𰑁
U+030442: 𰑂
U+030443: 𰑃
U+030444: 𰑄
U+030445: 𰑅
U+030446: 𰑆
U+030447: 𰑇
U+030448: 𰑈
U+030449: 𰑉
U+03044A: 𰑊
U+03044B: 𰑋
U+03044C: 𰑌
U+03044D: 𰑍
U+03044E: 𰑎
U+03044F: 𰑏
U+030450: 𰑐
U+030451: 𰑑
U+030452: 𰑒
U+030453: 𰑓
U+030454: 𰑔
U+030455: 𰑕
U+030456: 𰑖
U+030457: 𰑗
U+030458: 𰑘
U+030459: 𰑙
U+03045A: 𰑚
U+03045B: 𰑛
U+03045C: 𰑜
U+03045D: 𰑝
U+03045E: 𰑞
U+03045F: 𰑟
U+030460: 𰑠
U+030461: 𰑡
U+030462: 𰑢
U+030463: 𰑣
U+030464: 𰑤
U+030465: 𰑥
U+030466: 𰑦
U+030467: 𰑧
U+030468: 𰑨
U+030469: 𰑩
U+03046A: 𰑪
U+03046B: 𰑫
U+03046C: 𰑬
U+03046D: 𰑭
U+03046E: 𰑮
U+03046F: 𰑯
U+030470: 𰑰
U+030471: 𰑱
U+030472: 𰑲
U+030473: 𰑳
U+030474: 𰑴
U+030475: 𰑵
U+030476: 𰑶
U+030477: 𰑷
U+030478: 𰑸
U+030479: 𰑹
U+03047A: 𰑺
U+03047B: 𰑻
U+03047C: 𰑼
U+03047D: 𰑽
U+03047E: 𰑾
U+03047F: 𰑿
U+030480: 𰒀
U+030481: 𰒁
U+030482: 𰒂
U+030483: 𰒃
U+030484: 𰒄
U+030485: 𰒅
U+030486: 𰒆
U+030487: 𰒇
U+030488: 𰒈
U+030489: 𰒉
U+03048A: 𰒊
U+03048B: 𰒋
U+03048C: 𰒌
U+03048D: 𰒍
U+03048E: 𰒎
U+03048F: 𰒏
U+030490: 𰒐
U+030491: 𰒑
U+030492: 𰒒
U+030493: 𰒓
U+030494: 𰒔
U+030495: 𰒕
U+030496: 𰒖
U+030497: 𰒗
